epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.26704,1.14778,3.90633,1.47107,0.55848,0.40474,0.38787,0.30246,0.82967,3.52517,1.23147,8.574e-05,8.574e-05,8.574e-05
2,13.0352,1.02818,2.41008,1.38464,0.5934,0.5636,0.52546,0.37313,0.86356,3.38268,1.27004,0.000183931,0.000183931,0.000183931
3,17.6814,0.92603,1.70029,1.29009,0.30858,0.35556,0.39801,0.30863,0.698,4.13269,1.08274,0.000280141,0.000280141,0.000280141
4,24.1273,0.9015,1.1389,1.17746,0.24181,0.35556,0.3875,0.30095,0.7399,4.39616,1.10747,0.000374371,0.000374371,0.000374371
5,28.9848,0.85287,0.96552,1.13812,0.35008,0.50529,0.42086,0.30255,0.73457,6.69769,1.08981,0.00046662,0.00046662,0.00046662
6,35.7114,0.874,1.03829,1.1366,0.36759,0.4131,0.36058,0.27345,0.75466,6.24031,1.03826,0.000556888,0.000556888,0.000556888
7,40.7864,0.83715,0.88796,1.12231,0.20793,0.33333,0.3424,0.25054,0.85495,6.7393,1.12014,0.000645176,0.000645176,0.000645176
8,47.517,0.86783,0.85953,1.13483,0.33333,0.2,0.31186,0.24205,0.85998,6.75034,1.16097,0.000731484,0.000731484,0.000731484
9,51.98,0.87661,0.8549,1.15755,0.24108,0.26667,0.33386,0.23669,0.71969,5.54017,1.06278,0.00081581,0.00081581,0.00081581
10,58.7892,0.9019,0.82605,1.13723,0.28571,0.2,0.35896,0.2456,0.71342,7.18354,1.06704,0.000898157,0.000898157,0.000898157
11,63.8402,0.89181,0.84856,1.11915,0.11377,0.33333,0.23254,0.14669,0.77856,6.85887,1.18644,0.000978522,0.000978522,0.000978522
12,68.2376,0.82072,0.72404,1.10468,0.27614,0.43333,0.34335,0.22259,0.84125,4.08687,1.34251,0.00105691,0.00105691,0.00105691
13,74.086,0.90573,0.82675,1.12361,0.51515,0.2,0.24091,0.14678,0.9011,6.179,1.2473,0.00113331,0.00113331,0.00113331
14,78.6333,0.85011,0.82113,1.09612,0.58333,0.3,0.29758,0.19969,0.90802,9.14442,1.1763,0.00120774,0.00120774,0.00120774
15,82.8755,0.82508,0.76159,1.10076,0.11754,0.57222,0.25552,0.20322,0.71174,7.8349,1.06399,0.00123094,0.00123094,0.00123094
